Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored,Our_Time_distanceTo,Blom_Time_distanceTo,Our_Time_lbcall,Blom_Time_lbcall,margin_difference
4,472.0,4.0,60.0,60.0,43.5,43.5,0.00044255,0.002025,0.04333914999999999,1.0,1.0,0.0,0.0,12.5,14.5,14.5,0.00053615,2.5,0.0008978,0.04054515,0.00015235,0.0008859,16.5
5,499.0,4.0,58.333333333333336,58.333333333333336,47.333333333333336,47.333333333333336,0.0012556000000000002,0.0082976,0.0908544,1.0,1.0,0.3333333333333333,0.0,24.666666666666668,26.333333333333332,26.333333333333332,0.0027191333333333335,2.6666666666666665,0.003981,0.08371176666666667,0.00039043333333333335,0.0032493333333333332,11.0
6,517.0,4.0,41.0,41.0,18.0,18.0,0.0011831333333333332,0.011651966666666666,0.08377296666666667,1.0,1.0,0.6666666666666666,0.0,26.0,38.0,38.0,0.005726866666666667,0.3333333333333333,0.0041060666666666665,0.07058379999999999,0.0005130333333333332,0.0094573,23.0
7,521.0,4.0,41.0,41.0,18.0,18.0,0.002180933333333333,0.059600999999999994,0.3159765333333333,1.0,1.0,0.6666666666666666,0.0,77.66666666666667,108.33333333333333,108.33333333333333,0.0312968,0.3333333333333333,0.0247173,0.2633904,0.0008937,0.04071823333333333,23.0
8,523.0,4.0,40.666666666666664,40.666666666666664,14.0,14.0,0.004696533333333333,0.16916003333333332,0.6763277,1.0,1.0,0.3333333333333333,0.0,166.33333333333334,219.66666666666666,219.66666666666666,0.097186,1.0,0.06505293333333333,0.5348152,0.0018554666666666666,0.11921136666666665,26.666666666666668
9,525.0,4.0,47.0,47.0,12.333333333333334,12.333333333333334,0.011820866666666667,0.5934654,2.9868823666666664,1.0,1.0,0.0,0.0,521.3333333333334,553.6666666666666,553.6666666666666,0.2893084666666667,4.0,0.2903672,2.567383233333333,0.0020916333333333335,0.30718653333333334,34.666666666666664
10,528.0,4.0,61.0,61.0,33.0,33.0,0.009845125,2.5332986,29.966968225000002,1.0,1.0,0.0,0.0,1848.0,1876.25,1876.25,0.9721575750000001,45.75,1.5370580999999999,28.18784465,0.0030600749999999998,0.8767379,28.0
11,530.0,4.0,53.75,53.75,33.5,33.5,0.018295175,4.9662316749999995,95.70822232500001,1.0,1.0,0.5,0.0,2705.5,3421.0,3421.0,2.158099,92.0,2.7715175,91.28577885,0.00482835,1.8944216750000002,20.25
12,541.0,4.0,24.25,24.25,18.75,18.75,0.023548725000000003,14.05035275,435.045225125,1.0,1.0,0.5,0.0,6534.25,8594.75,8594.75,6.128471825,159.75,7.8464160000000005,418.7760852,0.003939675,5.346785625,5.5
