,Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored,Our_Time_distanceTo,Blom_Time_distanceTo,Our_Time_lbcall,Blom_Time_lbcall
1138,adressa=8_ballot=4,8,3246,4,aichi,1481,1481,1481,1481,0.0132963,15.4995715,24.9567774,1,1,1,0,1970,1971,1971,2.1007363,206,13.3596278,22.5513736,0.0024272,1.7585927
1141,adressa=8_ballot=4,8,3246,4,oaxaca,1958,1958,1920,1920,0.0061493,15.0912047,23.8394713,1,1,0,0,1903,1904,1904,2.0421407,182,13.0078695,21.5222988,0.0026462,1.687706
1142,adressa=8_ballot=4,8,3246,4,rayong,1487,1487,1439,1439,0.0069449,14.2477967,22.4162168,1,1,0,0,1789,1790,1790,2.0011577,174,12.19965,20.1773075,0.0026228,1.6543047
1143,adressa=8_ballot=4,8,3246,4,nakhon si thammarat,959,959,959,959,0.0249937,30.8423372,45.5058511,1,1,1,0,3872,3873,3873,4.7031227,295,26.0225266,40.4195103,0.0199693,3.8974258
1145,adressa=8_ballot=4,8,3246,4,central,1481,1481,499,499,0.0120042,20.3811246,31.2949875,1,1,0,0,2614,2615,2615,3.0134333,238,17.3068921,27.9568352,0.0047588,2.5205737
1149,adressa=8_ballot=4,8,3246,4,bali,1487,1487,1439,1439,0.0079137,15.1813568,22.3616167,1,1,0,0,1789,1790,1790,2.1070725,174,13.0281742,20.149974,0.0032118,1.6272596
1151,adressa=8_ballot=4,8,3246,4,phrae,1487,1487,499,499,0.018848,22.6645026,34.9228861,1,1,0,0,2899,2900,2900,3.5284515,238,19.0380512,30.927335,0.0150442,3.0895288
1156,adressa=8_ballot=4,8,3246,4,australian capital territory,1487,1487,1439,1439,0.0060379,14.3439981,22.4892953,1,1,0,0,1789,1790,1790,1.9757525,174,12.3291475,20.1983399,0.002484,1.6983288
1158,adressa=8_ballot=4,8,3246,4,morelos,1481,1481,1481,1481,0.0064189,15.659638,24.9891751,1,1,1,0,1970,1971,1971,2.0737751,206,13.5432774,22.5563033,0.0027364,1.7788466
1159,adressa=8_ballot=4,8,3246,4,ha noi,959,959,959,959,0.024123,30.891457,45.4041253,1,1,1,0,3872,3873,3873,4.726723,295,26.0431706,40.3770146,0.0142173,3.8375546
1160,adressa=8_ballot=4,8,3246,4,arizona,1481,1481,953,953,0.024663,26.3098806,41.0267082,1,1,0,0,3334,3335,3335,3.7783658,318,22.4520718,36.7199955,0.009382,3.2337139
1161,adressa=8_ballot=4,8,3246,4,songkhla,1481,1481,1481,1481,0.0162861,16.1635483,25.0587091,1,1,1,0,1970,1971,1971,2.2143342,206,13.8923736,22.6383851,0.0069268,1.7639829
1162,adressa=8_ballot=4,8,3246,4,tarlac,1487,1487,1439,1439,0.0110761,14.7887727,22.2508753,1,1,0,0,1789,1790,1790,2.0787749,174,12.6698481,20.0517726,0.002374,1.6145209
1164,adressa=8_ballot=4,8,3246,4,pattaya,1487,1487,1439,1439,0.0059345,14.5209469,22.5833973,1,1,0,0,1789,1790,1790,2.0482294,174,12.431695,20.3309386,0.0025897,1.6615438
1165,adressa=8_ballot=4,8,3246,4,colorado,1487,1487,1439,1439,0.0114242,14.2226347,22.5322314,1,1,0,0,1789,1790,1790,1.9701329,174,12.2107306,20.3241542,0.0024176,1.6217124
1167,adressa=8_ballot=4,8,3246,4,yilan county,1487,1487,1439,1439,0.0058831,14.3252516,22.4886161,1,1,0,0,1789,1790,1790,2.0083846,174,12.2734965,20.2344077,0.0053444,1.665185
1169,adressa=8_ballot=4,8,3246,4,michigan,1487,1487,1439,1439,0.0116832,32.1094249,50.6794283,1,1,0,0,3958,3959,3959,4.3568638,412,27.6634284,45.6980196,0.004777,3.6505252
1170,adressa=8_ballot=4,8,3246,4,masqat,1487,1487,1439,1439,0.0085602,13.9630978,22.3303502,1,1,0,0,1789,1790,1790,1.9439933,174,11.9790616,20.1104486,0.0055786,1.6303863
1172,adressa=8_ballot=4,8,3246,4,basnahira palata,1487,1487,1439,1439,0.006018,14.3766307,22.6993454,1,1,0,0,1789,1790,1790,2.0308199,174,12.3070141,20.41105,0.0023934,1.6958167
1176,adressa=8_ballot=4,8,3246,4,nova scotia,1487,1487,1439,1439,0.0068879,14.2015837,22.7721566,1,1,0,0,1789,1790,1790,1.991679,174,12.1704529,20.4858449,0.0023992,1.6908662
1179,adressa=8_ballot=4,8,3246,4,wielkopolskie,1487,1487,1439,1439,0.0106091,14.1800527,22.6838322,1,1,0,0,1789,1790,1790,2.0084925,174,12.1330386,20.4236013,0.0031696,1.6660184
1181,adressa=8_ballot=4,8,3246,4,oklahoma,959,959,953,953,0.0290649,40.3998799,60.7326799,1,1,0,0,4934,4935,4935,5.8235191,429,34.4536564,54.2639065,0.0072314,4.8781068
1182,adressa=8_ballot=4,8,3246,4,zurich,1487,1487,953,953,0.0444424,43.8068791,67.2176736,1,1,0,0,5554,5555,5555,6.5936122,488,37.0724931,59.8719789,0.0144997,5.5777455
1186,adressa=8_ballot=4,8,3246,4,hallands lan,959,959,499,499,0.0361646,31.6720544,45.403558,1,1,0,0,3949,3950,3950,4.8940344,288,26.6495406,40.1070415,0.0142222,4.1070144
1189,adressa=8_ballot=4,8,3246,4,dublin,1958,1958,1439,1439,0.0205599,39.5337962,61.8126009,1,1,0,0,4925,4926,4926,5.4881542,474,33.930164,55.5480984,0.0088931,4.6361519
1191,adressa=8_ballot=4,8,3246,4,burgos,1487,1487,953,953,0.0209105,26.7755741,39.1727348,1,1,0,0,3205,3206,3206,3.946027,294,22.7470627,35.0308054,0.0047172,3.1121706
1193,adressa=8_ballot=4,8,3246,4,gloucestershire,1481,1481,953,953,0.0118947,26.7681847,41.1600088,1,1,0,0,3334,3335,3335,3.843323,318,22.836476,36.9397493,0.0090799,3.1512653
1198,adressa=8_ballot=4,8,3246,4,norrbottens lan,959,959,959,959,0.023478,22.3339445,33.0126912,1,1,1,0,2736,2737,2737,3.372927,203,18.8836719,29.254962,0.0085094,2.8987677
1199,adressa=8_ballot=4,8,3246,4,murcia,1958,1958,499,499,0.0455255,39.4505331,58.7976492,1,1,0,0,5004,5005,5005,6.2463429,352,33.0444198,51.8245655,0.0256824,5.4181447
1200,adressa=8_ballot=4,8,3246,4,niedersachsen,1536,1536,1536,1536,0.0060876,17.7969149,29.2296822,1,1,1,0,2246,2247,2247,2.3612516,252,15.3862779,26.5238977,0.0043023,1.9390502
1203,adressa=8_ballot=4,8,3246,4,bagmati,1481,1481,1481,1481,0.0060031,15.4381727,25.5656694,1,1,1,0,1970,1971,1971,2.0368389,206,13.3617076,23.0798645,0.0024122,1.8219577
1204,adressa=8_ballot=4,8,3246,4,zuid-holland,1958,1958,1439,1439,0.0370437,57.6577561,92.0493094,1,1,0,0,7094,7095,7095,7.9866815,712,49.4894281,82.6755758,0.0197451,6.9718295
1205,adressa=8_ballot=4,8,3246,4,ostrobothnia,1487,1487,1439,1439,0.0176009,46.5769807,77.1094172,1,1,0,0,5892,5893,5893,6.3489692,612,40.0883217,69.5931534,0.016982,5.4854438
1210,adressa=8_ballot=4,8,3246,4,varna,1958,1958,1920,1920,0.0066354,14.8140039,23.7290626,1,1,0,0,1903,1904,1904,2.0124101,182,12.7614516,21.4310463,0.0026899,1.6806627
1211,adressa=8_ballot=4,8,3246,4,dubayy,1487,1487,1439,1439,0.0065543,14.363291,22.5215728,1,1,0,0,1789,1790,1790,1.9579364,174,12.3654475,20.2613615,0.0023856,1.679468
1217,adressa=8_ballot=4,8,3246,4,oxfordshire,1958,1958,1920,1920,0.012258,15.666604,24.1002125,1,1,0,0,1903,1904,1904,2.2237298,182,13.3969774,21.7199759,0.0037831,1.7440949
1219,adressa=8_ballot=4,8,3246,4,vastmanlands lan,1958,1958,1920,1920,0.0102134,15.2336964,24.279546,1,1,0,0,1903,1904,1904,2.1117186,182,13.0807954,21.8910804,0.002432,1.7527489
1220,adressa=8_ballot=4,8,3246,4,salamanca,1481,1481,1481,1481,0.0115675,15.530953,25.5654308,1,1,1,0,1970,1971,1971,2.1066793,206,13.3815414,23.0900452,0.0025542,1.8054645
1223,adressa=8_ballot=4,8,3246,4,orebro lan,1487,1487,1439,1439,0.0217009,29.7524178,47.6728039,1,1,0,0,3723,3724,3724,4.1190216,374,25.5489968,42.9443143,0.0060536,3.4755356
1225,adressa=8_ballot=4,8,3246,4,kronobergs lan,1536,1536,1536,1536,0.0081088,17.5462781,29.7229124,1,1,1,0,2246,2247,2247,2.276628,252,15.2251459,26.9551422,0.0026668,1.9985735
1229,adressa=8_ballot=4,8,3246,4,latina,1958,1958,1920,1920,0.0096305,16.0060903,25.3785849,1,1,0,0,1903,1904,1904,2.2015926,182,13.7594033,22.8028015,0.0054287,1.9169709
1230,adressa=8_ballot=4,8,3246,4,united states,959,959,959,959,0.0266627,31.018776,45.8466143,1,1,1,0,3872,3873,3873,4.6633511,295,26.2555043,40.7383486,0.0092258,3.9112185
1231,adressa=8_ballot=4,8,3246,4,milano,1481,1481,1481,1481,0.0112118,15.5936726,25.0958977,1,1,1,0,1970,1971,1971,2.0499007,206,13.5033993,22.6703051,0.0024019,1.7782753
1232,adressa=8_ballot=4,8,3246,4,kastoria,1487,1487,1439,1439,0.0058772,14.8842028,22.3227416,1,1,0,0,1789,1790,1790,2.058014,174,12.7844617,20.0603297,0.0043276,1.6755158
1233,adressa=8_ballot=4,8,3246,4,sofia-grad,1481,1481,1481,1481,0.0064487,15.8924622,25.2854964,1,1,1,0,1970,1971,1971,2.1823716,206,13.6684726,22.809409,0.0024215,1.8208213
1234,adressa=8_ballot=4,8,3246,4,parnumaa,959,959,959,959,0.0156588,22.4688681,34.4743103,1,1,1,0,2865,2866,2866,3.3616726,227,19.0365443,30.7044048,0.008792,2.8676167
1238,adressa=8_ballot=4,8,3246,4,uppsala lan,1958,1958,959,959,0.0308802,36.2096271,55.0199905,1,1,0,0,4634,4635,4635,5.4672427,363,30.6192699,48.9093554,0.0118848,4.6764354
1241,adressa=8_ballot=4,8,3246,4,liverpool,1487,1487,1439,1439,0.0117841,14.3586279,22.6538894,1,1,0,0,1789,1790,1790,1.9468581,174,12.3720719,20.4262549,0.0027052,1.6320881
1243,adressa=8_ballot=4,8,3246,4,limburg,1481,1481,1481,1481,0.0068438,15.5062913,25.3889418,1,1,1,0,1970,1971,1971,2.0609266,206,13.4046808,22.9293394,0.0028352,1.7996646
1244,adressa=8_ballot=4,8,3246,4,moskva,1481,1481,953,953,0.0196193,26.4263688,41.3390273,1,1,0,0,3334,3335,3335,3.8501914,318,22.4927217,37.048886,0.0108184,3.2068012
1250,adressa=8_ballot=4,8,3246,4,islas baleares,1958,1958,1439,1439,0.0306754,39.07444,61.6754932,1,1,0,0,4925,4926,4926,5.5258424,474,33.4135952,55.479407,0.010134,4.588194
1251,adressa=8_ballot=4,8,3246,4,zachodniopomorskie,499,499,499,499,0.005852,12.7386759,13.1667143,1,1,1,0,1335,1588,1588,2.3355474,0,10.3607395,11.1439998,0.0024943,1.6929435
1252,adressa=8_ballot=4,8,3246,4,khon kaen,1487,1487,1439,1439,0.0176773,30.6782469,47.8743883,1,1,0,0,3723,3724,3724,4.1661048,374,26.4205104,43.1441096,0.0105791,3.4709797
1260,adressa=8_ballot=4,8,3246,4,noord-brabant,959,959,499,499,0.0265527,35.7650774,53.5116383,1,1,0,0,4427,4428,4428,5.4347269,352,30.2061609,47.6871488,0.0169039,4.4185117
1261,adressa=8_ballot=4,8,3246,4,braila,1481,1481,1481,1481,0.0105967,15.7584333,25.3362388,1,1,1,0,1970,1971,1971,2.1318002,206,13.5851795,22.8989452,0.0024114,1.7847471
1265,adressa=8_ballot=4,8,3246,4,central finland,1487,1487,1439,1439,0.0057969,14.4993446,22.4820481,1,1,0,0,1789,1790,1790,2.017673,174,12.4435816,20.2349066,0.0026911,1.6573
1267,adressa=8_ballot=4,8,3246,4,nidwalden,1487,1487,1439,1439,0.0106836,14.1887206,22.6128131,1,1,0,0,1789,1790,1790,1.9827204,174,12.1649196,20.3517461,0.0045947,1.6749639
1269,adressa=8_ballot=4,8,3246,4,stockton-on-tees,1958,1958,1920,1920,0.011033,15.1850026,24.0345745,1,1,0,0,1903,1904,1904,2.1457842,182,12.99675,21.648833,0.0037161,1.7633348
1270,adressa=8_ballot=4,8,3246,4,solothurn,1487,1487,1439,1439,0.0153916,15.2495736,23.8606097,1,1,0,0,1789,1790,1790,2.0845687,174,13.1071553,21.3983871,0.0077818,1.8401074
1272,adressa=8_ballot=4,8,3246,4,sankt-peterburg,1481,1481,953,953,0.0215381,27.1686017,41.4453932,1,1,0,0,3334,3335,3335,3.8544448,318,23.2285762,37.1268907,0.0108599,3.236551
1275,adressa=8_ballot=4,8,3246,4,moray,1487,1487,1439,1439,0.0103283,14.3883458,22.510408,1,1,0,0,1789,1790,1790,1.9670523,174,12.3815379,20.2770289,0.003016,1.6442014
1276,adressa=8_ballot=4,8,3246,4,guangdong,1487,1487,1439,1439,0.0093385,13.9577417,22.5528285,1,1,0,0,1789,1790,1790,1.9327617,174,11.9859517,20.2955021,0.0044468,1.6722591
1280,adressa=8_ballot=4,8,3246,4,syddanmark,1958,1958,953,953,0.0364478,26.9903954,42.1818565,1,1,0,0,3476,3477,3477,3.9046192,318,22.9893647,37.5894283,0.0102807,3.5002534
1281,adressa=8_ballot=4,8,3246,4,bacs-kiskun,499,499,499,499,0.0112363,10.5553483,12.7748581,1,1,1,0,1335,1588,1588,1.9875248,0,8.5359016,10.8371162,0.0026483,1.6163907
1282,adressa=8_ballot=4,8,3246,4,espirito santo,1481,1481,1481,1481,0.0183711,15.9872195,25.0959339,1,1,1,0,1970,1971,1971,2.2046118,206,13.7389801,22.6749713,0.0025792,1.7707547
1283,adressa=8_ballot=4,8,3246,4,valle del cauca,499,499,499,499,0.0069302,10.363627,12.9487333,1,1,1,0,1335,1588,1588,1.9276775,0,8.4048139,11.0041279,0.0023969,1.6237405
1284,adressa=8_ballot=4,8,3246,4,puerto rico,1481,1481,499,499,0.0245218,23.5839162,33.876251,1,1,0,0,2923,2924,2924,3.6165703,238,19.8734861,30.0685577,0.012844,2.9302511
1285,adressa=8_ballot=4,8,3246,4,huelva,1487,1487,1439,1439,0.0059817,14.6109594,22.2606594,1,1,0,0,1789,1790,1790,2.0142055,174,12.5556703,20.0719133,0.0027125,1.6095562
1286,adressa=8_ballot=4,8,3246,4,venezia,499,499,499,499,0.0060567,10.4574641,12.8387768,1,1,1,0,1335,1588,1588,1.9938664,0,8.4286925,10.9021309,0.0058236,1.6147738
1287,adressa=9_ballot=4,9,583,4,utah,241,241,241,241,0.0002337,1.6594975,152.2110068,1,1,1,0,9034,9035,9035,0.4436702,710,20.1770612,76.5528107,9.20E-05,0.4901006
1290,adressa=10_ballot=4,10,591,4,new south wales,198,198,198,198,0.0008321,90.0076264,126.0432078,1,1,1,0,20361,30325,30325,0.0059172,0,25.312,196.326,0.000208,0.0085681
