Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored,Our_Time_distanceTo,Blom_Time_distanceTo,Our_Time_lbcall,Blom_Time_lbcall
movieLens_movie=9_ballot=4,9,6333,4,2001,1781,1781,1781,1781,0.0019641,21.8046372,351.7023412,1,1,1,0,16393,16394,16394,5.0457793,1944,16.6598233,335.7269735,0.0015021,4.4433449
movieLens_movie=9_ballot=4,9,6333,4,1995,1823,1823,1823,1823,0.0019452,21.9897461,322.3596771,1,1,1,0,16269,16270,16270,5.0857906,1920,16.806357,307.4630949,0.0007938,4.5772502
movieLens_movie=8_ballot=4,8,6033,4,2001,1791,1791,1791,1791,0.0013556,2.6794241,29.3152149,1,1,1,0,2805,2806,2806,0.6828895,344,1.9803435,27.7267213,0.0006287,0.6101713
movieLens_movie=7_ballot=4,7,5751,4,2001,1800,1800,1800,1800,0.0042598,0.3441391,3.6615086,1,1,1,0,549,550,550,0.0958433,72,0.2422327,3.4340808,0.0010013,0.1017205
movieLens_movie=6_ballot=4,6,5415,4,2001,1802,1802,1802,1802,0.0004457,0.0437798,0.6539563,1,1,1,0,127,128,128,0.0125577,22,0.0300568,0.615149,0.0001936,0.0161923
movieLens_movie=10_ballot=4,10,6590,4,2001,1775,1775,1775,1775,0.007501,223.6174939,3352.088761,1,1,1,0,69552,112030,112030,47.5103514,0,175.0889598,3132.551,0.0026848,30.6865436
movieLens_movie=10_ballot=4,10,6590,4,1995,1829,1829,1829,1829,0.0026883,195.4591244,2520.034924,1,1,1,0,74231,112423,112423,41.2672243,0,153.4708367,2305.03459,0.0011084,29.1826681
