,movieId,title,genres
0,0,2,2
1,5,1,2
2,1,2,2
3,6,2,2
4,1,2,2
5,6,2,2
6,0,1,2
7,2,2,1
8,0,1,2
9,2,2,1
10,1,2,2
11,2,1,2
12,1,0,2
13,5,2,1
14,6,1,2
15,7,1,1
16,6,1,0
17,4,2,0
18,1,1,0
19,2,1,1
20,0,1,2
21,4,1,1
22,1,1,2
23,2,2,2
24,7,2,2
25,0,2,2
26,4,2,2
27,1,2,2
28,1,1,2
29,0,2,1
30,2,0,0
31,4,1,1
32,5,1,0
33,2,1,1
34,2,1,2
35,6,2,0
36,5,1,2
37,7,1,2
38,2,1,1
39,7,1,0
40,5,2,2
41,2,2,1
42,6,2,1
43,4,2,2
44,5,2,1
45,7,1,2
46,6,0,0
47,5,2,2
48,0,2,2
49,4,2,2
50,1,2,2
51,3,2,2
52,4,0,0
53,2,1,1
54,3,1,2
55,7,1,0
56,3,1,1
57,1,0,1
58,6,2,0
59,2,2,2
60,5,0,1
61,5,1,1
62,1,2,2
63,0,2,2
64,7,1,1
65,4,2,2
66,2,1,0
67,2,2,1
68,0,0,0
69,2,1,1
70,5,0,0
71,6,1,1
72,7,1,2
73,2,2,2
74,3,2,2
75,0,2,2
76,1,2,2
77,4,2,2
78,4,2,2
79,6,2,2
80,1,2,2
81,2,2,2
82,3,1,1
83,0,2,2
84,1,0,0
85,5,0,0
86,5,0,2
87,0,1,2
88,2,0,0
89,1,1,2
90,0,1,2
91,7,2,1
92,4,0,0
93,3,1,2
94,4,1,1
95,2,1,1
96,3,1,1
97,0,2,2
98,7,1,2
99,1,1,1
100,0,2,2
101,2,0,0
102,3,1,1
103,4,2,2
104,6,2,2
105,6,1,1
106,3,1,2
107,5,2,2
108,1,0,1
109,4,0,1
110,3,2,2
111,2,2,2
112,6,2,2
113,0,0,2
114,4,2,2
115,7,2,2
116,0,0,2
117,2,0,1
118,5,0,1
119,3,2,2
120,5,1,1
121,6,2,2
122,0,0,2
123,7,0,2
124,6,2,2
125,4,1,2
126,5,1,1
127,2,1,1
128,2,1,2
129,5,1,2
130,4,1,1
131,0,1,1
132,0,0,0
133,4,0,0
134,0,1,1
135,1,0,0
136,3,0,0
137,5,0,1
138,3,0,1
139,6,1,1
140,2,0,0
141,2,0,0
142,6,0,0
143,0,0,0
144,1,0,0
145,0,0,0
146,4,0,0
147,7,0,0
148,5,0,0
149,3,0,0
150,1,2,2
151,2,2,2
152,1,2,2
153,0,2,2
154,5,2,2
155,6,2,2
156,3,1,2
157,4,2,2
158,6,2,1
159,3,1,1
160,5,2,2
161,0,1,2
162,0,1,2
163,1,1,1
164,2,1,1
165,5,1,1
166,0,2,2
167,5,1,1
168,1,1,2
169,0,1,1
170,3,1,1
171,5,0,0
172,1,1,1
173,4,1,1
174,0,1,1
175,7,1,1
176,0,1,1
177,3,0,1
178,1,0,1
179,0,1,1
180,6,1,1
181,3,0,0
182,7,0,0
183,0,2,1
184,3,2,2
185,7,2,2
186,1,1,2
187,1,0,0
188,3,0,0
189,1,1,2
190,0,1,2
191,3,1,2
192,7,2,2
193,4,2,2
194,7,1,0
195,0,2,2
196,3,0,0
197,1,0,1
198,3,1,0
199,1,0,0
200,0,2,2
201,1,1,1
202,6,0,0
203,1,1,1
204,7,0,0
205,4,0,0
206,3,0,0
207,6,0,0
208,2,0,0
209,0,0,0
210,4,0,0
211,7,1,2
212,1,0,2
213,4,1,1
214,0,1,1
215,7,2,2
216,6,0,1
