Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Initial winner,Preferred winner,Number Ballots add,Heuristic v2 margin,Upper limit margin,heuristic v2 runtime,baseline runtime,avg heap modify 
500,491.0,4.0,11.0,0.0,68.0,3.0,68.0,0.0656128,0.438379,470.0
1000,985.0,4.0,0.0,7.5,160.0,59.0,160.0,0.11588124999999999,1.15089275,936.5
5000,4907.0,4.0,0.0,7.0,2048.0,500.5,2048.0,0.722812,12.4053819,4738.0
10000,9775.0,4.0,0.0,11.0,6144.0,1577.0,6144.0,1.3570370999999999,27.3799636,9794.0
50000,26656.0,4.0,0.0,10.0,16384.0,4084.0,16384.0,4.97182715,105.7448557,25416.0
100000,26656.0,4.0,0.0,5.0,8192.0,2105.0,8192.0,7.3164028,124.61124294999999,24853.0
